ID,Typ,Sparte,Institution,Adresse,PLZ,Ort,lat,lon,Webseite,Kommentare (Intern),
144,ORG+VENUE,BILDENDE KUNST,GlogauAir gGmbH,Glogauer Str. 16,10999,Berlin,52.4921651,13.4358725,www.glogauair.net,,
145,ORG+VENUE,DARSTELLENDE KUNST,Gob Squad Arts Collective,Skalitzer Str. 59,10999,Berlin,52.4997467,13.4363671,http://www.gobsquad.com/,,
146,VENUE,"MUSEUM; KUNSTGALERIEN, AUSSTELLUNGSRÄUME","Museum Spandau, Gotisches Haus, Galerie",Breite Str. 32,13597,Berlin,52.4746494,13.2924446,http://www.gotischeshaus.de/,,Kommunale Galerie
147,VENUE,BIBLIOTHEK,Gottfried-Benn-Bibliothek,Nentershäuser Platz 1,14163,Berlin,52.4320835,13.2554436,https://www.berlin.de/stadtbibliothek-steglitz-zehlendorf/bibliotheken/gottfried-benn-bibliothek/,,
148,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,gr_und,Seestr. 49,13347,Berlin,52.5508098,13.3535485,www.gr-und.de/,,
149,VENUE,"BIBLIOTHEK, GRAPHOTHEK",Graphothek Berlin,Königshorster Straße 6,13439,Berlin,52.5982546,13.3506178,https://www.graphothek-berlin.de/,,
150,ORG+VENUE,MUSEUM,Grimmuseum,Fichtestraße 2,10967,Berlin,52.4910757,13.4128791,www.grimmuseum.com,,
151,ORG+VENUE,"BÜHNEN, THEATER",Grips Theater,Altonaer Str. 22,10557,Berlin,52.5186697,13.3417558,http://www.grips-theater.de/,,
152,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Group Global 3000,Leuschnerdamm 19,10999,Berlin,52.50465,13.41813,groupglobal3000.de,,
153,ORG+VENUE,"BÜHNEN, THEATER",Hack-B-Theater,Stargarder Str. 74,10437,Berlin,52.5470334,13.4172582,https://www.facebook.com/Hack-B-Theater-364150807310412/,,
154,ORG+VENUE,"BÜHNEN, THEATER",Hans Wurst Nachfahren,Gleditschstraße 5,10781,Berlin,52.49651,13.35541,http://www.hans-wurst-nachfahren.de/,,
155,VENUE,BIBLIOTHEK,Hansabibliothek,Altonaer Straße 15,10557,Berlin,52.5172567,13.3428637,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/hansabibliothek/,,
156,ORG+VENUE,MUSIK,Hans-Werner-Henze-Musikschule,Maratstraße 182,12683,Berlin,52.53214,13.55222,https://www.berlin.de/musikschule-mh/,,
157,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Haus am Kleistpark,Grunewaldstr. 6/7,10823,Berlin,52.49057,13.35734,https://www.hausamkleistpark.de/,,Kommunale Galerie
158,ORG+VENUE,MUSEUM,Haus am Waldsee e. V.,Argentinische Allee 30,14163,Berlin,52.44202,13.23834,http://www.hausamwaldsee.de/index.php/de/,,
159,ORG+VENUE,GEDENKSTÄTTE,Haus der Wannsee-Konferenz,Am Großen Wannsee 56-58,14109,Berlin,52.43233,13.16635,https://www.ghwk.de/,,
160,ORG+VENUE,LITERATURHAUS,"Haus für Poesie (Trägerverein: Literaturbrücke Berlin e.V.; bis 2016 ""literaturWERKstatt Berlin"")",Knaackstraße 97,10435,Berlin,52.5403087,13.4142478,https://www.haus-fuer-poesie.org/de/literaturwerkstatt-berlin/home/,,
161,ORG+VENUE,"BÜHNEN, THEATER",Hebbel am Ufer HAU 1,Stresemannstr. 29,10963,Berlin,52.4990592,13.3862888,http://www.hebbel-am-ufer.de/,,
162,ORG+VENUE,"BÜHNEN, THEATER",Heimathafen Neukölln,Karl-Marx-Straße 141,12043,Berlin,52.47696,13.4393647,https://www.heimathafen-neukoelln.de/,,
163,VENUE,MUSEUM,Heimatmuseum Zehlendorf,Clayallee 355,14169,Berlin,52.4354799,13.2602746,http://www.heimatmuseum-zehlendorf.de/,,
164,ORG,"MUSEUM, ARCHIVE UND BIBLIOTHEKEN, LITERATUR, GEDENKSTÄTTEN, BILDENDE KUNST, MUSIK",Heimatverein Müggelheim e. V.,Seddiner Weg 10,12559,Berlin,52.2715724,13.0112585,https://www.mueggelheimer-heimatverein.de,,
165,VENUE,BIBLIOTHEK,Heinrich-Böll-Bibliothek,Greifswalder Straße 87,10409,Berlin,52.5419506,13.4409369,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/heinrich-boell-bibliothek/,,
166,VENUE,BIBLIOTHEK,Heinrich-Schulz-Bibliothek mit Musikabteilung,Otto-Suhr-Allee 96,10585,Berlin,52.5170515,13.3088395,https://www.wir-bieten-vielfalt-einen-ort.de/heinrich-schulz-bibliothek-mit-musikabteilung/,,
167,VENUE,BIBLIOTHEK,Helene-Nathan-Bibliothek,Karl-Marx-Straße 66,12043,Berlin,52.4820247,13.4327194,https://www.berlin.de/stadtbibliothek-neukoelln/bibliotheken/bezirkszentralbibliothek-helene-nathan-bibliothek/,,
168,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",HilbertRaum,Reuterstr. 31,12047,Berlin,52.4875201,13.4292327,www.hilbertraum.org,,
169,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Horse & Pony Fine Arts,Altenbrakerstraße 18,12053,Berlin,52.4704143,13.4320805,www.horseandponyfinearts.com/,,
170,ORG+VENUE,SONSTIGES,Humboldt Forum Kultur GmbH,Rosenstraße 2,10178,Berlin,53.5535318,10.0021609,https://www.humboldtforum.com/de,,
171,ORG,MUSEUM,"Humboldt Forum, Museum des Ortes",Schloßplatz 7,10178,Berlin,49.5982726,11.0038131,https://humboldtforum.com/de/,,
172,VENUE,BIBLIOTHEK,Humboldt-Bibliothek,Karolinenstraße 19,13507,Berlin,49.8908083,10.88494,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/humboldt-bibliothek/,,
174,ORG+VENUE,"BÜHNEN UND THEATER, DARSTELLENDE KUNST, MUSIK, TANZ / PERFORMANCE",IKC ufaFabrik e.V.,Viktoriastr. 10-18,12105,Berlin,52.4544783,13.381799,https://www.ufafabrik.de/de,,
175,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,IMPORT PROJECTS,Keithstrasse 10,10787,Berlin,52.5026662,13.3462355,import-projects.org,,
176,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Infernoesque,Leipziger Strasse 41,10117,Berlin,52.5101495,13.3942917,www.infernoesque.de,,
177,VENUE,GEDENKSTÄTTE,Informationsort Schwerbelastungskörper,General-Pape-Str. 34A,12101,Berlin,52.484558,13.3721089,http://www.schwerbelastungskoerper.de/,,
178,VENUE,BIBLIOTHEK,Ingeborg-Bachmann-Bibliothek,Nehringstraße 10,14059,Berlin,52.5145073,13.293845,https://www.wir-bieten-vielfalt-einen-ort.de/ingeborg-bachmann-bibliothek/,,
179,VENUE,BIBLIOTHEK,Ingeborg-Drewitz-Bibliothek,Grunewaldstraße 3,12165,Berlin,52.457494,13.319924,https://www.berlin.de/stadtbibliothek-steglitz-zehlendorf/bibliotheken/ingeborg-drewitz-bibliothek/,,
180,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Institut für Alles Mögliche,Ackerstraße 18,10115,Berlin,52.5313424,13.3966893,www.i-a-m.tk,,
181,VENUE,BIBLIOTHEK,Janusz-Korczak-Bibliothek,Berliner Straße 120/121,13187,Berlin,52.5686,13.41221,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/janusz-korczak-bibliothek/,,
182,ORG+VENUE,"BÜHNEN, THEATER",JARO Theater,Schlangenbader Str. 30,14197,Berlin,52.471613,13.3076487,https://www.theater-jaro.de/,,
183,ORG+VENUE,JUGEND-KULTURORGANISATION,Jeunesse Musicales Deutschland e.V.,Güntherstr. 7,10318,Berlin,,,https://www.jmd.info/berlin/impressum/?L=0,,
184,VENUE,BIBLIOTHEK,Johanna-Moosdorf-Bibliothek,Westendallee 45,14052,Berlin,52.5106633,13.2579324,https://www.wir-bieten-vielfalt-einen-ort.de/johanna-moosdorf-bibliothek/,,
185,VENUE,MUSIKSCHULE,Joseph-Schmidt-Musikschule,Freiheit 15,12555,Berlin,52.4480955,13.5769115,https://www.berlin.de/musikschule-treptow-koepenick/,,
186,ORG+VENUE,MUSEUM,Jüdisches Museum Berlin,Lindenstraße 9-14,10969,Berlin,52.501973,13.394973,https://www.jmberlin.de/,,
187,ORG+VENUE,"BÜHNEN, THEATER","Jüdisches Theater im Coupé Theater, Bürgeramt Wilmersdorf Kommunale Galerie",Hohenzollerndamm 177,10713,Berlin,52.5021172,13.3293332,https://www.djthe.de,,
188,ORG,"MUSEUM, SONSTIGES",Jugend im Museum e.V.,Rigaer Straße 108,10247,Berlin,52.5184755,13.4541371,http://www.jugend-im-museum.de/,,
189,ORG+VENUE,JUGEND-KULTURORGANISATION,Jugendkunstschule derArt,Heidenauer Straße 10,12627,Berlin,52.5361354,13.6094879,https://www.jugendkunstschule-der-art.de/,,
190,ORG+VENUE,JUGEND-KULTURORGANISATION,Jugendkunstschule Neukölln / YoungArts Neukölln,"Donaustraße, 42",12043,Berlin,50.99313,11.00617,http://youngarts-nk.de/,,
191,ORG+VENUE,JUGEND-KULTURORGANISATION,Jugendtheaterwerkstatt Spandau,Gelsenkircher Str. 20,13583,Berlin,51.5271412,7.158894,https://jtw-spandau.de/,,
192,ORG+VENUE,JUGEND-KULTURORGANISATION,Jugenkunstschule Junge Kunst Mitte: Kinderkunsthaus/ Kinderkunstwerkstatt,Schönwalder Str. 19,13347,Berlin,52.5417415,13.370861,http://www.junge-kunst-mitte.de/category/kkw#legal,,
193,ORG,SONSTIGES,k&k kultkom,Crellestraße 22,10827,Berlin,52.4882947,13.3621088,http://www.kultkom.de/,,
194,ORG+VENUE,TANZSTUDIO/ PERFORMANCE,K77 studio,Kastanienallee 77,10435,Berlin,52.53637,13.40814,http://k77studio.org/de/home/,,
195,ORG+VENUE,MUSEUM,Käthe-Kollwitz-Museum Berlin,Fasanenstr. 24,10719,Berlin,52.5017099,13.3269652,https://www.kaethe-kollwitz.de/,,
196,ORG+VENUE,"LITERATUR, DARSTELLENDE KUNST, MUSIK",Kesselhaus Kulturbrauerei Consense GmbH,"Schönhauser Allee 36,",10435,Berlin,52.5386047,13.4130561,https://www.kesselhaus.net/,,
197,ORG+VENUE,JUGEND-KULTURORGANISATION,Kinder & JugendTheater MEINE BÜHNE / ALTE KAPELLE - Theater & Performancehaus,Boxhagener Straße 99,10245,Berlin,52.5123722,13.4609285,http://www.murkelbuehne.de/,,
198,ORG+VENUE,BÜHNEN UND THEATER,Kleines Theater am Südwestkorso,Südwestkorso 64,12161,Berlin,52.47331,13.3223399,https://www.kleines-theater.de/,,
199,VENUE,GEDENKSTÄTTE,Ruine der Franziskaner Klosterkirche,Klosterstr. 73a,10179,Berlin,52.51837,13.41234,http://klosterruine.berlin/,,Kommunale Galerie
200,ORG+VENUE,"OPERN, KONZERTHÄUSER, CHÖRE",Komische Oper Berlin,Behrenstraße 55-57,10117,Berlin,52.5159935,13.3868518,https://www.komische-oper-berlin.de/,,
201,VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Kommunale Galerie Berlin,Hohenzollerndamm 176,10713,Berlin,52.4894393,13.3118077,https://www.kommunalegalerie-berlin.de/,,
202,VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Kommunale Galerie im Historischen Keller,Carl-Schurz-Str. 49/51,13597,Berlin,52.5384072,13.2045119,http://www.galeriehistorischerkeller.de/,,
203,ORG+VENUE,"BÜHNEN, THEATER",Komödie am Kurfürstendamm,Kurfürstendamm 206,10719,Berlin,52.501986,13.323509,https://www.komoedie-berlin.de/start/index.html,,
204,ORG+VENUE,"OPERN, KONZERTHÄUSER, CHÖRE",Konzerthaus Berlin / Schauspielhaus am Gendarmenmarkt,Gendarmenmarkt,10117,Berlin,52.5137224,13.3926698,https://www.konzerthaus.de/de/,,
205,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Kotti-Shop,Adalbertstraße 4,10999,Berlin,52.5,13.41895,http://www.kotti-shop.net/about.html,,
206,ORG+VENUE,BILDENDE KUNST,KREUZBERG PAVILLON,Naunynstrasse 53,10999,Berlin,52.50231,13.41814,kreuzbergpavillon.tumblr.com,,
207,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Kronenboden,Schwedenstraße 16,13357,Berlin,52.5551018,13.3752283,www.kronenboden.de,,
208,ORG+VENUE,"BÜHNEN UND THEATER, OPERN, KONZERTHÄUSER UND CHÖRE, BILDENDE KUNST, DARSTELLENDE KUNST, MUSIK, TANZ / PERFORMANCE",Kultur Büro Elisabeth gGmbH,Invalidenstr. 4a,10115,Berlin,52.53272,13.39679,www.elisabeth.berlin,,
209,ORG,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kulturbund Treptow Kulturring in Berlin,Ernststr. 14/16,12437,Berlin,52.4657052,13.4891621,https://www.kulturring.org/index.php?ortsteil=56,,
210,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kulturforum Hellersdorf,Carola-Neher-Str. 1,12619,Berlin,52.5306992,13.5925904,https://www.kulturring.org/,,
211,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",KulturGut,Alt-Marzahn 23,12685,Berlin,52.5441622,13.5581523,http://www.agrar-boerse-ev.de/standorte-projekte/marzahn-hellersdorf/kulturgut/,,
212,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kulturhaus,Kyffhäuser Str. 23,10781,Berlin,52.4940786,13.3522815,http://www.dezentrale-kulturarbeit.de/kulturhaus-schoeneberg-53.html,,
213,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kulturhaus Alte Feuerwache,Marchlewskistr. 6,10243,Berlin,52.5162516,13.4422397,http://www.alte-feuerwache-friedrichshain.de/alte-feuerwache/,,"Kommunale Galerie, Sonderkultureinrichtung"
214,VENUE,BÜHNEN UND THEATER,"Kulturhaus Spandau, Freilichtbühne an der Zitadelle",Mauerstr. 6,13597,Berlin,52.5355225,13.2022659,http://kulturhaus-spandau.de/veranstaltungsort/freilichtbuehne-an-der-zitadelle/,,
215,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Kulturpalast Wedding International,Freienwalder Str. 20,13359,Berlin,52.5583494,13.3920178,www.kulturpalastwedding.wordpress.com,,
216,ORG+VENUE,"BÜHNEN UND THEATER, DARSTELLENDE KUNST",Kulturprojekte Berlin GmbH / Schaubude Berlin,Greifswalder Straße 81-84,10405,Berlin,52.5408215,13.4389117,https://www.schaubude.berlin/,,
217,ORG,"BÜHNEN UND THEATER, LITERATUR, BILDENDE KUNST, DARSTELLENDE KUNST, MUSIK, TANZ / PERFORMANCE, SONSTIGES",Kulturring in Berlin e.V.,Giselastr. 12,10317,Berlin,48.1549648,11.5860326,https://www.kulturring.org/,,
218,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kulturwerk des bbk berlin,Köthener Straße 44,10963,Berlin,52.5071185,13.3776591,https://www.bbk-berlin.de/,,
219,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE; GALERIE","Kulturzentrum Adlershof, Alte Schule mit Galerie und Kunstverleih Treptow-Köpenick",Dörpfeldstr. 54/56,12489,Berlin,52.43887,13.54977,http://www.galerie-alte-schule-adlershof.de/kulturzentrum/,,Kommunale Galerie
220,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kulturzentrum Kino Kiste,Heidenauer Str. 10,12627,Berlin,52.5361354,13.6094879,https://www.kiste.net/,,Kulturzentrum
221,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kunsthalle am Hamburger Platz,Gustav-Adolf-Straße 140,13086,Berlin,52.55804,13.4393999,kunsthalle.kunsthochschule-berlin.de,,
222,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kunsthaus Dahlem,Käuzchensteig 8,14195,Berlin,52.4663,13.27435,http://kunsthaus-dahlem.de/,,
223,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kunsthaus Flora,Florastr. 113,12623,Berlin,52.51759,13.62182,http://www.kultur-marzahn-hellersdorf.de/KUNSTHAUS-FLORA.723.0.html,,Sonderkultureinrichtung
224,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kunsthaus Kule,Auguststraße 10,10117,Berlin,52.52644,13.39412,www.kunsthauskule.de,,
225,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kunsthaus/Sternwarte,Heerstr. 529/531,13593,Berlin,52.5230331,13.1478443,https://www.berlin.de/adressen/verein/arbeitskreis-spandauer-kuenstler-berlin-ev-4f143fecb4fc475f0b7c8900.html,,
226,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Künstlerhaus,Nonnendamm 17,13627,Berlin,52.53028,13.28609,https://www.berlin.de/ba-charlottenburg-wilmersdorf/ueber-den-bezirk/bezirkliche-einrichtungen/artikel.224326.php,,
227,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Künstlerhaus Bethanien (KHB),Kottbusser Str. 10,10999,Berlin,52.49698,13.4185893,https://www.bethanien.de/,,
228,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kunstremise,Jüdenstr. 1,13597,Berlin,52.5188313,13.408724,https://www.casa-ev.de/de/kunst-und-kultur/kunstremise-spandau.html,,
229,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Kunstverein Neukölln e.V.,Mainzer Straße 42,12053,Berlin,49.7186476,7.3024732,www.kunstverein-neukoelln.de,,
230,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Kunst-Werke Berlin - Institute for Contemporary Art (& Biennale Berlin --> zwei verschiedene Aspekte des Vereins),Auguststraße 69,10117,Berlin,52.5268334,13.3949574,https://www.kw-berlin.de/,,
231,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Kurt-Kurt,Lübecker Straße 13,10559,Berlin,52.1539115,11.6371594,www.kurt-kurt.de,,
232,VENUE,BIBLIOTHEK,Kurt-Tucholsky-Bibliothek,Esmarchstraße 18,10407,Berlin,52.532917,13.4322404,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/kurt-tucholsky-bibliothek/,,
233,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,"L’oiseau présente, c/o Ballhaus Ost",Pappelallee 15,10437,Berlin,52.5430652,13.4148661,www.loiseaupresente.blogspot.de,,
234,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Labor Neunzehn,Kiefholzstr.19/20,12435,Berlin,52.49083,13.45096,www.laborneunzehn.org,,
235,ORG+VENUE,TANZSTUDIO/ PERFORMANCE,Laborgras,Großbeerenstraße 56E,10965,Berlin,52.49244,13.3841901,http://www.laborgras.com/,,
236,ORG,"BÜHNEN UND THEATER, OPERN, KONZERTHÄUSER UND CHÖRE, ARCHIVE UND BIBLIOTHEKEN, DARSTELLENDE KUNST, TANZ / PERFORMANCE",LAFT Berlin - Landesverband freie darstellende Künste e.V.,Pappelalle 15,10437,Berlin,52.5430652,13.4148661,https://www.laft-berlin.de/,,
237,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Lage Egal,Liselotte–Herrmann–Str. 26,10407,Berlin,52.53121,13.4373099,WWW.LAGE-EGAL.NET,,
238,ORG+VENUE,"BÜHNEN UND THEATER, DARSTELLENDE KUNST, TANZ / PERFORMANCE",Lake Studios berlin,Scharnweberstrasse 27,12587,Berlin,52.4509175,13.6279335,https://www.lakestudiosberlin.com/,,
239,ORG+VENUE,ARCHIV,Landesarchiv Berlin,Eichborndamm 115,13403,Berlin,52.57997,13.31674,http://landesarchiv-berlin.de/,,
240,ORG,LANDESMUSIKRAT,Landesmusikrat Berlin e.V.,Lübecker Straße 23,10559,Berlin,52.1563821,11.6361032,https://www.landesmusikrat-berlin.de/,,
241,VENUE,MUSIKSCHULE,Leo Kestenberg Musikschule,Grunewaldstr. 6-7,10823,Berlin,52.49057,13.35734,https://www.lkms.de/,,
242,VENUE,MUSIKSCHULE,Leo-Borchard-Musikschule,Martin-Buber-Str. 21,14160,Berlin,52.43359,13.2562899,https://www.berlin.de/musikschule-steglitz-zehlendorf/,,
243,ORG+VENUE,JUGEND-KULTURORGANISATION; LITERATURHAUS,LesArt - Berliner Zentrum für Kinder- und Jugendliteratur,Weinmeisterstraße 5,10178,Berlin,52.5252889,13.4050891,http://www.lesart.org/,,
244,ORG+VENUE,,Lettrétage,Mehringdamm 61,10961,Berlin,52.4908091,13.3871714,https://www.lettretage.de,,
245,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,liebig12,Liebigstraße 12,10247,Berlin,52.51753,13.45707,http://www.liebig12.net/about/,,
246,ORG+VENUE,LITERATURHAUS,Literarisches Colloquium Berlin (LCB),Am Sandwerder 5,14109,Berlin,52.42279,13.17849,https://www.lcb.de/home/,,
247,ORG+VENUE,LITERATURHAUS,Literaturforum im Brecht-Haus,Chausseestraße 125,10115,Berlin,52.5289063,13.384675,http://lfbrecht.de/,,
248,ORG+VENUE,LITERATURHAUS,Literaturhaus Berlin e.V.,Fasanenstraße 23,10719,Berlin,52.5021563,13.3268322,http://literaturhaus-berlin.de/,,
249,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Loge,Friedrichstrasse 210,10969,Berlin,52.5065271,13.390169,www.loge-berlin.com,,
250,ORG+VENUE,"BIBLIOTHEK, GRAPHOTHEK",Magistratsbibliothek,Otto-Suhr-Allee 100,10585,Berlin,52.5172421,13.3082708,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/interne-dienste/verwaltungsinformationszentrum-viz/,,
251,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Manière Noire,Waldenserstr. 7a,10551,Berlin,52.52882,13.33517,www.manierenoire.net,,
252,ORG+VENUE,"BÜHNEN, THEATER",Maxim Gorki Theater,Am Festungsgraben 2,10117,Berlin,52.5188,13.39509,http://www.gorki.de/de,,
253,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,MEINBLAU e.V.,Christinenstraße 18-19,10119,Berlin,52.5322475,13.4101136,www.meinblau.de,,
254,ORG+VENUE,"BÜHNEN, THEATER",MEINE BÜHNE; Kinder & JugendTheater,Boxhagener Str. 99,10245,Berlin,52.5123722,13.4609285,www.murkelbuehne.de,,
255,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Mica Moca berlin project,Brunnenstrasse 169,10119,Berlin,52.53355,13.39819,www.micamoca.de,,
256,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Mies van der Rohe Haus,Oberseestr. 60,13053,Berlin,52.5493487,13.4908126,http://www.miesvanderrohehaus.de/,,Kommunale Galerie
257,ORG+VENUE,ARCHIV,Mime Centrum Berlin,Mariannenpl. 2,10997,Berlin,52.5038945,13.4240746,http://www.mimecentrum.iti-germany.de/,,
258,VENUE,BIBLIOTHEK,Mittelpunktbibliothek Ehm Welk,Alte Hellersdorfer Straße 125,12629,Berlin,52.5465,13.59209,https://www.berlin.de/bibliotheken-mh/bibliotheken/mittelpunktbibliothek-ehm-welk/,,
259,VENUE,BIBLIOTHEK,Mittelpunktbibliothek Köpenick „Alter Markt“,Alter Markt 2,12555,Berlin,47.8001555,13.0455469,https://www.berlin.de/stadtbibliothek-treptow-koepenick/bibliotheken/mittelpunktbibliothek-koepenick/,,
260,VENUE,BIBLIOTHEK,"Mittelpunktbibliothek Schöneberg ""Thomas-Dehler-Bibliothek""",Martin-Luther-Straße 77,10825,Berlin,52.4881838,13.3457162,https://www.berlin.de/stadtbibliothek-tempelhof-schoeneberg/bibliotheken/thomas-dehler-bibliothek/,,
261,VENUE,BIBLIOTHEK,Mittelpunktbibliothek Treptow,Michael-Brückner-Str. 9,12439,Berlin,52.4540327,13.5139523,https://www.berlin.de/stadtbibliothek-treptow-koepenick/bibliotheken/mittelpunktbibliothek-treptow/,,
262,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,mp43 projektraum für das periphere,Stollberger Str. 73,12627,Berlin,52.5335,13.60268,www.mp43.culturebase.org,,
263,ORG+VENUE,MUSEUM,"Museen Tempelhof-Schöneberg, Schöneberg Museum, Jugend Museum",Hauptstraße 40 /42,10827,Berlin,52.483893,13.350982,https://www.museen-tempelhof-schoeneberg.de,,
265,ORG+VENUE,INKLUSION,Museum Blindenwerkstadt Otto Weidt in der Stiftung Gedenstätte Deutscher Widerstand,Rosenthaler Straße 39,10178,Berlin,52.5242848,13.4021617,https://www.museum-blindenwerkstatt.de/de/mbow/,,
266,ORG+VENUE,"MUSEUM,","Museum Charlottenburg-Wilmersdorf, Villa Oppenheim",Schloßstr. 55,14059,Berlin,52.4533978,13.3151808,https://www.villa-oppenheim-berlin.de/museum/baudenkmaeler/schoeler-schloesschen.html,,
267,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Museum der Unerhörten Dinge,Crellestraße 5-6,10827,Berlin,52.48692,13.35877,www.museumderunerhoertendinge.de,,
268,ORG+VENUE,MUSEUM,Museum für Kommunikation,Leipziger Str. 16,10117,Berlin,52.5100104,13.386523,https://www.mfk-berlin.de,,
269,ORG+VENUE,MUSEUM,Museum für Naturkunde,Invalidenstraße 43,10115,Berlin,52.5305726,13.3791755,https://www.museumfuernaturkunde.berlin/de,,
270,VENUE,MUSEUM,Museum Köpenick,Alter Markt 1,12555,Berlin,52.445262,13.578986,https://www.museum-treptow-koepenick.de/,,
271,VENUE,MUSEUM,Museum Lichtenberg im Stadthaus,Türrschmidtstr. 24,10317,Berlin,52.5030134,13.4808363,http://www.museum-lichtenberg.de/,,
272,VENUE,MUSEUM,Museum Pankow Standort Heynstr.,Standort Heynstr. 8,13187,Berlin,52.5642637,13.4024174,https://www.berlin.de/museum/3108467-2926344-museum-pankow-standort-heynstrasse-8-fru.html,,
273,VENUE,MUSEUM,Museum Pankow im Kultur- und Bildungszentrum Sebastian Haffner,Prenzlauer Allee 227/228,10405,Berlin,52.5332325,13.420337,https://www.berlin.de/museum-pankow/service/kontakt-team/,,
274,VENUE,MUSEUM,Museum Reinickendorf,Alt-Hermsdorf 35,13467,Berlin,52.61554,13.31868,https://www.museum-reinickendorf.de/,,
276,VENUE,BIBLIOTHEK,Musikbibliothek,Marzahner Promenade 55,12679,Berlin,52.546921,13.556762,https://www.berlin.de/bibliotheken-mh/bibliotheken/musikbibliothek/,,
277,VENUE,MUSIKSCHULE,Musikschule Belá Bartók,Am Schloßpark 20,13187,Berlin,52.5753194,13.4099298,https://www.berlin.de/musikschule-pankow/,,
278,VENUE,MUSIKSCHULE,Musikschule City West,Berkaer Platz 1,14199,Berlin,52.4777,13.28801,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/musikschule/,,
279,VENUE,MUSIKSCHULE,Musikschule Fanny Hensel,Mathilde Jacob Platz 1,10881,Berlin,52.527057,13.3385406,https://www.berlin.de/musikschule-mitte/,,
280,VENUE,MUSIKSCHULE,Musikschule Friedrichshain-Kreuzberg,Mariannenplatz 2,10997,Berlin,52.5038945,13.4240746,https://www.ms-fk.de/musikschule.html,,
281,VENUE,MUSIKSCHULE,Musikschule Paul Hindemith,Boddinstraße 34,12040,Berlin,52.4797671,13.4265977,http://www.musikschuleneukoelln.de/,,
282,VENUE,MUSIKSCHULE,Musikschule Reinickendorf,Buddestr. 21,13507,Berlin,52.59053,13.28664,https://www.berlin.de/ba-reinickendorf/service/einrichtungen/musikschule/,,
